model	rmsd_full	rmsd_framework	rmsd_h1	rmsd_h2	rmsd_h3	rmsd_l1	rmsd_l2	rmsd_l3	pdb
7bbj_unrelaxed_rank_021_alphafold2_multimer_v3_model_3_seed_004	0.389	0.696	0.601	0.749	1.215	0.875	0.52	0.82	7bbj
7bbj_unrelaxed_rank_015_alphafold2_multimer_v3_model_4_seed_001	0.418	0.698	0.437	0.652	1.562	1.055	0.405	0.551	7bbj
7bbj_unrelaxed_rank_010_alphafold2_multimer_v3_model_2_seed_004	0.435	0.701	0.398	0.725	1.322	1.129	0.398	0.558	7bbj
7bbj_unrelaxed_rank_008_alphafold2_multimer_v3_model_2_seed_000	0.429	0.711	0.416	0.727	1.538	1.046	0.385	0.572	7bbj
7bbj_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_004	0.402	0.726	0.385	0.685	1.215	0.697	0.34	0.567	7bbj
7bbj_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_003	0.367	0.685	0.542	0.734	1.436	0.762	0.509	0.704	7bbj
7bbj_unrelaxed_rank_007_alphafold2_multimer_v3_model_5_seed_004	0.438	0.64	0.405	0.667	1.196	1.041	0.423	0.451	7bbj
7bbj_unrelaxed_rank_013_alphafold2_multimer_v3_model_2_seed_002	0.388	0.711	0.421	0.734	1.53	0.815	0.365	0.607	7bbj
7bbj_unrelaxed_rank_022_alphafold2_multimer_v3_model_4_seed_000	0.419	0.69	0.462	0.65	1.528	0.996	0.376	0.46	7bbj
7bbj_unrelaxed_rank_019_alphafold2_multimer_v3_model_5_seed_003	0.431	0.65	0.435	0.687	1.463	1.033	0.45	0.524	7bbj
7bbj_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_002	0.388	0.727	0.4	0.731	1.578	0.664	0.338	0.512	7bbj
7bbj_unrelaxed_rank_016_alphafold2_multimer_v3_model_3_seed_000	0.369	0.666	0.515	0.712	1.184	0.716	0.453	0.671	7bbj
