model	rmsd_full	rmsd_framework	rmsd_h1	rmsd_h2	rmsd_h3	rmsd_l1	rmsd_l2	rmsd_l3
7bnv_62_0	0.724	0.370	0.411	0.300	4.145	2.247	0.262	0.956
7bnv_50_2	0.693	0.384	0.437	0.334	5.410	2.238	0.281	0.543
7bnv_34_1	0.708	0.355	0.442	0.359	2.941	2.308	0.348	0.731
7bnv_80_2	0.765	0.457	0.428	0.267	4.381	2.223	0.264	0.643
7bnv_98_3	0.699	0.373	0.426	0.234	6.739	2.231	0.274	0.700
7bnv_65_3	0.706	0.391	0.367	0.371	4.074	2.236	0.369	0.857
7bnv_98_4	0.709	0.365	0.388	0.297	5.355	2.218	0.174	0.713
7bnv_65_4	0.695	0.330	0.382	0.345	2.722	2.243	0.204	0.658
7bnv_33_2	0.703	0.346	0.399	0.251	4.510	2.254	0.247	0.783
7bnv_46_2	0.726	0.387	0.367	0.310	4.385	2.267	0.297	0.731
7bnv_52_3	0.715	0.404	0.415	0.298	8.054	2.225	0.212	0.703
7bnv_52_4	0.717	0.371	0.344	0.299	8.040	2.225	0.328	0.682
7bnv_63_0	0.702	0.406	0.478	0.214	3.981	2.211	0.210	0.731
7bnv_39_1	1.023	0.387	0.474	0.430	8.425	2.259	0.279	2.486
7bnv_13_2	0.735	0.348	0.463	0.226	4.067	2.291	0.261	1.005
7bnv_18_1	0.748	0.371	0.420	0.274	7.918	2.195	0.174	1.025
7bnv_6_2	0.737	0.468	0.505	0.278	7.014	2.241	0.195	0.743
7bnv_54_0	0.695	0.503	0.598	0.276	4.401	2.173	0.179	0.457
7bnv_66_2	0.736	0.424	0.515	0.489	6.514	2.313	0.446	0.752
7bnv_75_0	0.694	0.357	0.464	0.201	5.327	2.193	0.155	0.734
7bnv_28_2	0.757	0.407	0.450	0.394	7.930	2.331	0.329	1.042
7bnv_37_0	0.710	0.385	0.481	0.386	3.033	2.250	0.345	0.879
7bnv_97_2	0.701	0.361	0.461	0.392	4.216	2.235	0.252	0.673
7bnv_52_2	0.708	0.410	0.453	0.358	3.166	2.223	0.198	0.760
7bnv_46_3	0.668	0.425	0.602	0.456	5.282	2.310	0.383	0.415
7bnv_46_4	0.707	0.392	0.451	0.378	3.772	2.261	0.324	0.640
7bnv_33_3	0.699	0.374	0.437	0.355	3.736	2.243	0.218	0.746
7bnv_80_4	0.710	0.351	0.359	0.240	2.581	2.222	0.220	0.710
7bnv_80_3	0.680	0.359	0.413	0.212	3.865	2.238	0.221	0.524
7bnv_65_2	0.705	0.374	0.529	0.436	2.492	2.324	0.371	0.785
7bnv_98_2	0.701	0.431	0.470	0.400	4.373	2.280	0.325	0.729
7bnv_33_4	0.752	0.434	0.516	0.464	2.696	2.282	0.314	0.878
7bnv_50_4	0.710	0.457	0.538	0.365	8.505	2.320	0.339	0.590
