model	plddt_full	plddt_h1	plddt_h2	plddt_h3	plddt_l1	plddt_l2	plddt_l3	pdb
7bbj_unrelaxed_rank_021_alphafold2_multimer_v3_model_3_seed_004	97.236	97.397	97.259	93.548	96.835	97.27	94.472	7bbj
7bbj_unrelaxed_rank_015_alphafold2_multimer_v3_model_4_seed_001	97.038	97.664	96.78	93.218	96.417	97.15	94.513	7bbj
7bbj_unrelaxed_rank_010_alphafold2_multimer_v3_model_2_seed_004	97.093	97.438	97.446	91.111	95.873	97.17	94.217	7bbj
7bbj_unrelaxed_rank_008_alphafold2_multimer_v3_model_2_seed_000	97.065	97.641	97.584	91.951	94.78	97.04	94.68	7bbj
7bbj_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_004	97.381	97.751	97.29	93.681	97.187	97.75	94.799	7bbj
7bbj_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_003	97.117	97.249	97.102	92.962	96.657	97.04	94.61	7bbj
7bbj_unrelaxed_rank_007_alphafold2_multimer_v3_model_5_seed_004	97.215	97.381	97.142	92.398	95.657	96.753	94.861	7bbj
7bbj_unrelaxed_rank_013_alphafold2_multimer_v3_model_2_seed_002	97.021	97.554	97.53	91.78	95.522	97.043	94.257	7bbj
7bbj_unrelaxed_rank_022_alphafold2_multimer_v3_model_4_seed_000	97.017	97.787	97.108	92.932	96.177	97.0	95.014	7bbj
7bbj_unrelaxed_rank_019_alphafold2_multimer_v3_model_5_seed_003	96.95	97.389	97.22	92.074	93.302	95.897	92.937	7bbj
7bbj_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_002	97.38	97.929	97.367	94.28	96.792	97.773	95.59	7bbj
7bbj_unrelaxed_rank_016_alphafold2_multimer_v3_model_3_seed_000	97.28	97.445	97.475	93.438	97.272	97.333	95.042	7bbj
7bbj_unrelaxed_rank_025_alphafold2_multimer_v3_model_4_seed_003	96.912	97.702	96.656	93.212	95.727	96.813	93.972	7bbj
7bbj_unrelaxed_rank_014_alphafold2_multimer_v3_model_5_seed_001	97.088	97.29	97.064	92.187	94.822	96.44	94.319	7bbj
7bbj_unrelaxed_rank_011_alphafold2_multimer_v3_model_2_seed_001	97.068	97.632	97.445	92.349	95.532	96.997	94.536	7bbj
7bbj_unrelaxed_rank_009_alphafold2_multimer_v3_model_5_seed_000	97.074	97.357	97.29	91.825	94.292	96.23	94.582	7bbj
7bbj_unrelaxed_rank_006_alphafold2_multimer_v3_model_5_seed_002	97.267	97.452	97.345	92.512	95.793	96.813	94.952	7bbj
7bbj_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_003	97.385	97.929	97.406	94.218	96.74	97.667	95.237	7bbj
7bbj_unrelaxed_rank_020_alphafold2_multimer_v3_model_2_seed_003	96.956	97.445	97.33	91.432	95.425	96.897	94.111	7bbj
7bbj_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000	97.373	97.946	97.421	93.961	97.488	97.877	95.541	7bbj
7bbj_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_001	97.392	97.954	97.382	94.381	96.772	97.727	95.291	7bbj
7bbj_unrelaxed_rank_017_alphafold2_multimer_v3_model_3_seed_002	97.267	97.43	97.391	93.669	97.143	97.397	94.993	7bbj
7bbj_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_001	97.235	97.323	97.321	94.149	96.575	97.227	94.653	7bbj
7bbj_unrelaxed_rank_012_alphafold2_multimer_v3_model_4_seed_004	97.077	97.595	96.673	92.706	96.637	97.127	93.992	7bbj
7bbj_unrelaxed_rank_018_alphafold2_multimer_v3_model_4_seed_002	97.032	97.771	96.969	92.814	96.5	97.15	94.626	7bbj
7bnv_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_003	93.765	94.116	94.524	67.663	91.947	93.707	84.147	7bnv
7bnv_unrelaxed_rank_012_alphafold2_multimer_v3_model_4_seed_002	93.775	94.366	94.905	69.112	90.367	92.94	83.069	7bnv
7bnv_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_000	93.385	93.735	94.413	67.816	90.151	92.48	82.892	7bnv
7bnv_unrelaxed_rank_018_alphafold2_multimer_v3_model_3_seed_001	93.615	93.953	94.626	68.673	90.439	92.667	84.289	7bnv
7bnv_unrelaxed_rank_017_alphafold2_multimer_v3_model_5_seed_002	93.647	93.539	94.727	67.246	91.24	92.877	85.574	7bnv
7bnv_unrelaxed_rank_014_alphafold2_multimer_v3_model_5_seed_001	93.619	93.963	95.141	66.868	90.76	92.647	84.348	7bnv
7bnv_unrelaxed_rank_020_alphafold2_multimer_v3_model_4_seed_001	93.084	92.912	92.97	65.502	90.019	92.08	82.205	7bnv
7bnv_unrelaxed_rank_006_alphafold2_multimer_v3_model_4_seed_003	93.852	94.329	94.993	69.277	90.76	92.897	83.637	7bnv
7bnv_unrelaxed_rank_009_alphafold2_multimer_v3_model_2_seed_002	93.767	94.163	94.451	70.129	91.356	93.793	81.856	7bnv
7bnv_unrelaxed_rank_025_alphafold2_multimer_v3_model_3_seed_004	93.29	93.492	93.914	67.983	89.884	92.44	82.295	7bnv
7bnv_unrelaxed_rank_011_alphafold2_multimer_v3_model_2_seed_004	93.642	94.078	94.531	69.497	91.223	93.563	81.264	7bnv
7bnv_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_002	93.761	94.406	94.64	67.518	91.84	93.687	84.693	7bnv
7bnv_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_001	93.894	94.18	94.751	67.473	92.304	93.793	86.035	7bnv
7bnv_unrelaxed_rank_019_alphafold2_multimer_v3_model_5_seed_004	93.347	93.266	94.245	66.409	90.41	92.52	83.803	7bnv
7bnv_unrelaxed_rank_013_alphafold2_multimer_v3_model_4_seed_004	93.848	94.491	95.22	69.447	90.296	92.793	83.853	7bnv
7bnv_unrelaxed_rank_022_alphafold2_multimer_v3_model_4_seed_000	93.045	92.969	92.993	65.418	89.929	91.98	81.397	7bnv
7bnv_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_004	93.919	94.281	94.634	68.935	92.274	93.857	84.833	7bnv
7bnv_unrelaxed_rank_016_alphafold2_multimer_v3_model_3_seed_003	93.581	93.727	94.283	68.146	90.887	93.123	83.655	7bnv
7bnv_unrelaxed_rank_007_alphafold2_multimer_v3_model_2_seed_003	93.752	94.274	94.664	69.671	91.464	93.833	81.773	7bnv
7bnv_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_000	93.746	94.046	94.555	67.49	91.947	93.603	84.909	7bnv
7bnv_unrelaxed_rank_021_alphafold2_multimer_v3_model_5_seed_000	93.354	93.774	94.789	66.907	90.269	92.583	82.553	7bnv
7bnv_unrelaxed_rank_010_alphafold2_multimer_v3_model_2_seed_000	93.65	94.046	94.427	68.703	91.599	93.893	81.722	7bnv
7bnv_unrelaxed_rank_015_alphafold2_multimer_v3_model_5_seed_003	93.349	93.736	94.521	66.751	89.92	92.603	81.505	7bnv
7bnv_unrelaxed_rank_008_alphafold2_multimer_v3_model_2_seed_001	93.738	94.203	94.704	69.31	91.427	93.753	82.244	7bnv
7bnv_unrelaxed_rank_024_alphafold2_multimer_v3_model_3_seed_002	93.372	93.445	93.999	67.868	90.31	92.643	83.285	7bnv
7daa_unrelaxed_rank_023_alphafold2_multimer_v3_model_3_seed_004	88.773	81.478	84.464	65.333	89.093	90.397	63.202	7daa
7daa_unrelaxed_rank_012_alphafold2_multimer_v3_model_4_seed_001	93.271	90.524	89.063	87.874	92.885	96.0	74.628	7daa
7daa_unrelaxed_rank_008_alphafold2_multimer_v3_model_1_seed_004	93.537	89.359	89.831	85.779	93.583	95.85	81.677	7daa
7daa_unrelaxed_rank_018_alphafold2_multimer_v3_model_5_seed_000	92.646	88.744	89.91	84.423	94.627	95.96	85.52	7daa
7daa_unrelaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000	93.868	91.546	88.456	90.081	92.667	96.643	75.699	7daa
7daa_unrelaxed_rank_020_alphafold2_multimer_v3_model_5_seed_004	91.853	88.735	87.026	83.709	90.313	94.437	69.981	7daa
7daa_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_002	94.974	92.585	92.731	87.196	93.913	96.353	81.098	7daa
7daa_unrelaxed_rank_009_alphafold2_multimer_v3_model_2_seed_004	93.651	91.101	89.937	84.251	91.46	95.143	71.43	7daa
7daa_unrelaxed_rank_025_alphafold2_multimer_v3_model_5_seed_002	91.373	86.891	87.579	73.44	92.312	93.917	78.108	7daa
7daa_unrelaxed_rank_011_alphafold2_multimer_v3_model_4_seed_003	93.101	90.438	88.223	87.952	92.353	95.917	74.215	7daa
7daa_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_003	95.288	90.686	92.089	88.667	96.208	96.96	89.88	7daa
7daa_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_001	93.183	87.939	89.856	79.438	94.023	95.623	82.661	7daa
7daa_unrelaxed_rank_006_alphafold2_multimer_v3_model_2_seed_003	94.275	92.469	91.901	87.173	91.802	95.5	75.058	7daa
7daa_unrelaxed_rank_016_alphafold2_multimer_v3_model_5_seed_001	92.787	88.664	90.189	84.528	95.74	96.44	87.698	7daa
7daa_unrelaxed_rank_019_alphafold2_multimer_v3_model_3_seed_002	92.081	87.757	86.117	79.882	91.093	94.813	72.023	7daa
7daa_unrelaxed_rank_014_alphafold2_multimer_v3_model_1_seed_000	91.904	87.359	86.337	75.266	90.835	93.813	70.576	7daa
7daa_unrelaxed_rank_013_alphafold2_multimer_v3_model_4_seed_000	92.88	91.033	88.377	89.633	91.792	95.977	73.182	7daa
7daa_unrelaxed_rank_022_alphafold2_multimer_v3_model_5_seed_003	92.156	89.049	88.36	86.459	91.897	95.563	75.94	7daa
7daa_unrelaxed_rank_024_alphafold2_multimer_v3_model_4_seed_004	89.24	82.671	85.831	69.229	90.502	90.96	66.748	7daa
7daa_unrelaxed_rank_002_alphafold2_multimer_v3_model_2_seed_001	95.126	91.922	93.027	85.444	95.292	96.247	85.11	7daa
7daa_unrelaxed_rank_010_alphafold2_multimer_v3_model_3_seed_001	93.323	90.311	88.401	87.834	93.885	96.417	80.271	7daa
7daa_unrelaxed_rank_015_alphafold2_multimer_v3_model_3_seed_003	92.919	88.202	87.126	80.229	93.083	95.377	78.187	7daa
7daa_unrelaxed_rank_007_alphafold2_multimer_v3_model_2_seed_000	93.829	91.616	90.044	85.618	91.458	95.023	70.208	7daa
7daa_unrelaxed_rank_017_alphafold2_multimer_v3_model_1_seed_002	91.297	86.469	86.01	73.072	90.093	93.73	69.811	7daa
7daa_unrelaxed_rank_021_alphafold2_multimer_v3_model_4_seed_002	91.7	87.479	86.956	75.667	90.77	93.877	72.931	7daa
7dk2_unrelaxed_rank_023_alphafold2_multimer_v3_model_2_seed_002	94.951	92.305	95.938	70.618	96.102	93.687	93.381	7dk2
7dk2_unrelaxed_rank_017_alphafold2_multimer_v3_model_3_seed_003	95.177	91.906	95.795	72.527	95.437	92.957	94.209	7dk2
7dk2_unrelaxed_rank_018_alphafold2_multimer_v3_model_2_seed_000	95.049	92.391	96.064	71.937	96.228	93.81	93.148	7dk2
7dk2_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000	95.333	92.689	96.0	72.877	96.115	93.917	92.993	7dk2
7dk2_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_002	95.289	92.585	95.787	72.948	96.195	94.083	92.452	7dk2
7dk2_unrelaxed_rank_003_alphafold2_multimer_v3_model_4_seed_003	95.655	93.117	95.985	75.76	96.512	93.997	94.951	7dk2
7dk2_unrelaxed_rank_025_alphafold2_multimer_v3_model_2_seed_004	94.721	92.202	95.875	69.724	96.042	93.333	92.389	7dk2
7dk2_unrelaxed_rank_014_alphafold2_multimer_v3_model_5_seed_000	95.047	91.562	95.657	70.935	95.718	93.0	93.716	7dk2
7dk2_unrelaxed_rank_006_alphafold2_multimer_v3_model_4_seed_002	95.559	92.838	95.97	74.905	96.532	93.957	94.673	7dk2
7dk2_unrelaxed_rank_020_alphafold2_multimer_v3_model_3_seed_000	95.043	91.604	95.523	71.189	95.48	92.917	93.701	7dk2
7dk2_unrelaxed_rank_011_alphafold2_multimer_v3_model_5_seed_003	95.212	91.906	95.936	72.208	95.843	93.02	94.063	7dk2
7dk2_unrelaxed_rank_019_alphafold2_multimer_v3_model_5_seed_002	94.85	91.202	95.627	70.058	95.562	92.73	93.693	7dk2
7dk2_unrelaxed_rank_009_alphafold2_multimer_v3_model_1_seed_003	95.09	92.359	95.795	71.692	95.998	93.667	92.493	7dk2
7dk2_unrelaxed_rank_016_alphafold2_multimer_v3_model_2_seed_003	95.18	92.689	96.234	72.988	96.323	93.877	93.374	7dk2
7dk2_unrelaxed_rank_013_alphafold2_multimer_v3_model_2_seed_001	95.164	92.515	96.078	72.259	96.218	93.793	93.576	7dk2
7dk2_unrelaxed_rank_022_alphafold2_multimer_v3_model_5_seed_004	94.843	91.094	95.422	70.209	95.448	92.643	93.664	7dk2
